"name","cuisine","district","price_level","rating"
"Ресторан 058","Європейська","Поділ","₴₴",3.71318803797454
"Ресторан 059","Європейська","Центр","₴₴₴",4.14779348691287
"Ресторан 060","Мексиканська","Лівий берег","₴₴₴",4.00574445420877
"Ресторан 061","Грузинська","Лівий берег","₴",3.65001987071163
"Ресторан 062","Індійська","Лівий берег","₴₴₴",3.88419652278907
"Ресторан 063","Здорова","Лівий берег","₴₴₴",4.12976920717462
"Ресторан 064","Здорова","Центр","₴₴₴",3.99978800817883
"Ресторан 065","Індійська","Лівий берег","₴₴",4.40014437671292
"Ресторан 066","Італійська","Лівий берег","₴₴₴",4.74161960094762
"Ресторан 067","Американська","Поділ","₴₴₴₴",3.99845490435327
"Ресторан 068","Грузинська","Печерськ","₴₴",3.75319956556579
"Ресторан 069","Морепродукти","Центр","₴₴₴",4.21020950334497
"Ресторан 070","Європейська","Поділ","₴₴₴",3.85727193576715
"Ресторан 071","Азійська","Печерськ","₴₴",4.04252529111344
"Ресторан 072","Європейська","Центр","₴₴",3.93160142894095
"Ресторан 073","Грузинська","Центр","₴₴₴",4.05852510195246
"Ресторан 074","Здорова","Оболонь","₴₴₴",4.26885102423318
"Ресторан 075","Італійська","Лівий берег","₴₴₴",4.44945857471254
"Ресторан 079","Здорова","Оболонь","₴₴",3.72382756089299
"Ресторан 077","Мексиканська","Печерськ","₴",4.03497104668524
"Ресторан 078","Здорова","Поділ","₴₴₴",4.26371722094988
"Ресторан 079","Здорова","Оболонь","₴₴",4.06972824464132
"Ресторан 080","Американська","Центр","₴₴₴",4.43482290360329
"Ресторан 081","Здорова","Центр","₴₴₴",3.81777786741343
"Ресторан 082","Мексиканська","Лівий берег","₴₴",4.08305080584507
"Ресторан 083","Здорова","Печерськ","₴₴₴",4.36689230611217
"Ресторан 084","Італійська","Центр","₴₴",3.99439082335462
"Ресторан 085","Європейська","Оболонь","₴",3.84478249679962
"Ресторан 086","Європейська","Поділ","₴₴",3.9977223313166
"Ресторан 087","Азійська","Поділ","₴₴₴",4.04164866282299
"Ресторан 088","Американська","Центр","₴",4.03692056208078
"Ресторан 089","Італійська","Оболонь","₴",4.27885015250779
"Ресторан 090","Американська","Печерськ","₴₴",3.64679655278925
"Ресторан 091","Мексиканська","Поділ","₴",4.10983928224352
"Ресторан 092","Мексиканська","Лівий берег","₴₴",4.1478624347437
"Ресторан 093","Американська","Оболонь","₴",3.93935802457194
"Ресторан 094","Європейська","Центр","₴₴",3.97940529787006
"Ресторан 095","Американська","Поділ","₴₴",3.81407637042348
"Ресторан 096","Японська","Центр","₴₴₴",4.21434460284453
"Ресторан 097","Здорова","Центр","₴₴₴₴",4.52207524012538
"Ресторан 098","Італійська","Центр","₴₴",4.1587179611501
"Ресторан 099","Азійська","Лівий берег","₴",4.26586822098251
"Ресторан 100","Мексиканська","Центр","₴₴₴",4.20347078487271
"Ресторан 101","Індійська","Лівий берег","₴₴",4.00204291084811
"Ресторан 102","Грузинська","Центр","₴₴",3.83376464580156
"Ресторан 103","Здорова","Поділ","₴",3.76237517930658
"Ресторан 104","Мексиканська","Печерськ","₴",3.39549261566044
"Ресторан 105","Морепродукти","Поділ","₴₴₴₴",4.23186364626775
"Ресторан 106","Індійська","Оболонь","₴₴",3.96114462788657
"Ресторан 107","Азійська","Лівий берег","₴₴",4.3177302340604
"Ресторан 108","Японська","Поділ","₴₴₴",4.45799135661679
"Ресторан 109","Американська","Центр","₴₴",3.6332478011312
"Ресторан 110","Азійська","Центр","₴",3.90946320572358
"Ресторан 111","Азійська","Лівий берег","₴₴",4.14239056544244
"Ресторан 112","Японська","Печерськ","₴₴",3.65557130571032
"Ресторан 113","Американська","Центр","₴",3.2630092301917
"Ресторан 114","Європейська","Лівий берег","₴₴₴₴",3.97940529787006
"Ресторан 115","Італійська","Поділ","₴₴₴",4.23223786154925
"Ресторан 116","Японська","Поділ","₴₴",4.06065036972012
"Ресторан 117","Морепродукти","Лівий берег","₴₴₴₴",4.22067776452928
"Ресторан 118","Європейська","Печерськ","₴₴",4.0593427651716
"Ресторан 119","Мексиканська","Центр","₴₴",4.03497104668524
"Ресторан 120","Морепродукти","Лівий берег","₴₴₴",4.06667334216243
"Ресторан 121","Італійська","Печерськ","₴₴",4.15824157463064
"Ресторан 122","Європейська","Поділ","₴₴₴",4.04011250545712
"Ресторан 123","Мексиканська","Оболонь","₴₴",3.76705401041845
"Ресторан 124","Американська","Поділ","₴₴₴₴",4.2624841211373
"Ресторан 125","Японська","Печерськ","₴₴₴₴",4.57706844757508
"Ресторан 126","Морепродукти","Поділ","₴₴",3.7747930845441
"Ресторан 127","Грузинська","Центр","₴",3.7961089894138
"Ресторан 128","Американська","Поділ","₴₴",3.81394036047384
"Ресторан 129","Морепродукти","Оболонь","₴₴",3.51763486690925
"Ресторан 130","Грузинська","Печерськ","₴₴",3.61119504056915
"Ресторан 131","Італійська","Поділ","₴₴",3.98386762099555
"Ресторан 132","Індійська","Оболонь","₴",3.87444582666272
"Ресторан 133","Азійська","Печерськ","₴₴₴₴",4.09218447744296
"Ресторан 134","Американська","Поділ","₴₴",3.27461100406714
"Ресторан 135","Азійська","Центр","₴₴",4.04208697696822
"Ресторан 136","Морепродукти","Поділ","₴₴",3.65862847941287
"Ресторан 137","Здорова","Оболонь","₴₴",3.8389747184321
"Ресторан 138","Європейська","Лівий берег","₴₴",3.75928608011553
"Ресторан 139","Італійська","Лівий берег","₴₴",3.99236222325672
"Ресторан 140","Індійська","Лівий берег","₴₴",3.80286632889381
"Ресторан 026","Японська","Лівий берег","₴₴₴₴",3.74016644012701
"Ресторан 142","Японська","Центр","₴₴₴₴",4.58258194263992
"Ресторан 143","Індійська","Центр","₴₴",4.23493535621124
"Ресторан 144","Американська","Поділ","₴₴₴",4.01088395907676
"Ресторан 145","Морепродукти","Центр","₴",3.71671078197849
"Ресторан 146","Морепродукти","Печерськ","₴₴₴",3.54857210530654
"Ресторан 147","Грузинська","Центр","₴",3.47202471127828
"Ресторан 148","Азійська","Лівий берег","₴₴",3.77849076366985
"Ресторан 149","Індійська","Печерськ","₴",4.15997826510123
"Ресторан 150","Азійська","Печерськ","₴₴",3.73136725056022
"Ресторан 151","Японська","Лівий берег","₴₴",4.12772484389186
"Ресторан 152","Азійська","Лівий берег","₴",3.92182299764937
"Ресторан 153","Американська","Печерськ","₴₴₴",3.9163899119948
"Ресторан 125","Італійська","Поділ","₴₴",4.27715164492009
"Ресторан 155","Європейська","Поділ","₴₴₴₴",4.1591314611997
"Ресторан 156","Індійська","Поділ","₴₴₴",4.27325867092949
"Ресторан 157","Японська","Печерськ","₴₴₴",3.93619126367103
"Ресторан 158","Морепродукти","Лівий берег","₴₴",3.32103539174128
"Ресторан 159","Індійська","Поділ","₴₴₴",4.06811589423287
"Ресторан 160","Азійська","Центр","₴₴",3.63652394395395
